AD_Type,price,surface,adress,image_link
Terrains,12 500 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5636075_uploaded_image1_1763877510.jpg
Terrain,17 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5635268_uploaded_image1_1763818970.jpg
Terrain,6 000 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5635246_uploaded_image1_1763818042.jpg
Terrain,19 000 000,818,"Fatick, Sénégal",https://images.coinafrique.com/thumb_5634217_uploaded_image1_1763753308.jpg
Terrains,130 000,NAN ,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5633804_uploaded_image1_1763736380.jpg
Terrain,11 000 000,150 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5624230_uploaded_image1_1763280931.jpg
Terrain,Prix sur demande,225 m2,"Thies, Sénégal",https://images.coinafrique.com/thumb_5632215_uploaded_image1_1763654422.jpg
Terrain,8 000 000,200,"Niaga, Sénégal",https://images.coinafrique.com/thumb_5632007_uploaded_image1_1763646169.jpg
Terrain,8 000 000,200,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5631999_uploaded_image1_1763646039.jpg
Terrains,200 000 000,253,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588906_uploaded_image1_1761301719.jpg
Terrains,150 000 000,200,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588890_uploaded_image1_1761301182.jpg
Terrains,1 250 000,555,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5631600_uploaded_image1_1763634502.jpg
Terrain,12 000 000,238,"Louga, Sénégal",https://images.coinafrique.com/thumb_5630732_uploaded_image1_1763588898.jpg
Terrain,4 000 000,150 m2,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5629937_uploaded_image1_1763556571.jpg
Terrain,Prix sur demande,Nbre de pièces1,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5629588_uploaded_image1_1763547656.jpg
Terrain,750 000 000,1000 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5586705_uploaded_image1_1761163491.jpg
Terrain,3 800,150,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5628594_uploaded_image1_1763495087.jpg
Terrain,5 000 000,150,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5628058_uploaded_image1_1763475542.jpg
Terrain,12 500 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5627983_uploaded_image1_1763473290.jpg
Terrain,17 000 000,150,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5627250_uploaded_image1_1763453582.jpg
Terrain,8 000 000,150,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5626856_uploaded_image1_1763415974.jpg
Terrain,170 000 000,221 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5584567_uploaded_image1_1761050460.jpg
Terrain,4 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5624922_uploaded_image1_1763322907.jpg
Terrain,12 500 000,150,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5623781_uploaded_image1_1763240547.jpg
Terrain,35 000 000,230,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5623372_uploaded_image1_1763215014.jpg
Terrain,17 000 000,150,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5623364_uploaded_image1_1763214666.jpg
Terrain,17 000 000,150,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5622933_uploaded_image1_1763196802.jpg
Parcelle,3 500 000,200 m2,"Thies, Sénégal",https://images.coinafrique.com/thumb_5622734_uploaded_image1_1763169255.jpg
Terrain,45 000 000,170 m2,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5622407_uploaded_image1_1763152594.jpg
Terrain,29 000 000,201 m2,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5621935_uploaded_image1_1763132015.jpg
vente,10 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5582525_uploaded_image1_1760957760.jpg
vente,14 000 000,600,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5582311_uploaded_image1_1760952472.jpg
vente,26 000 000,600,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5582301_uploaded_image1_1760952306.jpg
vente,7 000 000,300,"Mbour, Sénégal",https://images.coinafrique.com/thumb_5582286_uploaded_image1_1760951912.jpg
Terrain,750 000,225 m2,"Thies, Sénégal",https://images.coinafrique.com/thumb_5621343_uploaded_image1_1763103399.jpg
Terrains,130 000 000,247,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5578710_uploaded_image1_1760705535.jpg
Terrain,17 000 000,150,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5619709_uploaded_image1_1763024295.jpg
Terrain,50 000 000,150,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5588279_uploaded_image1_1761258565.jpg
Terrain,3 100 000,150 m2,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5577216_uploaded_image1_1760628277.jpg
